Name,Categories,Years Active Start,Birthdate,Years Active End,Deathdate,City,Neighborhood,Coordinates
Waka Flocka Flame,rapper,2009,5/31/1986,,,Atlanta,Riverdale,"33.562576, -84.413303"
Lethal Bizzle,rapper,2002,9/14/1984,,,London,Walthamstow,"51.585549, -0.020046"
Odezenne,rapper,2005,,,,Bordeaux,,"44.842913, -0.603308"
Ol Kainry,rapper,1996,,,,Évry,Courcouronnes,"48.62302, 2.414986"
Deen Burbigo,rapper,2008,,,,Toulon,,"43.138235, 5.928624"
Pato Pooh,rapper,2002,,,,Stockolm,,"59.332562, 18.083121"
DJ Quik,producer;rapper,,,,,Los Angeles,Compton,"33.88356, -118.2450207"
Evil Pimp,producer;rapper,1996,,,,Cedar Rapids,,"41.957204, -91.558652"
Kodak Black,rapper,,,,,Pompano Beach,Golden Acres,"26.244499, -80.1460351"
Bun B,rapper,,,,,Port Arthur,,"29.8467404, -93.9676072"
Big Hawk,rapper,1992,11/15/1969,2006,5/1/2006,Houston,,"29.621483, -95.340298"
Guizmo,rapper,2011,,,,Paris,Villeneuve-la-Garenne,"48.938373, 2.327838"
MBS,group,1993,,,,Hussein Dey,,"36.73697, 3.100699"
Furax Barbossa,rapper,2004,2/4/1979,,,Toulouse,,"43.631624, 1.468201"
7ARI,rapper,,,,,Rabbat,,"33.987114, -6.824675"
K-Rino,rapper,1993,9/9/1970,,,Houston,South Park,"29.663437, -95.325668"
Mike Will Made It,producer / dj,2005,6/23/1989,,,Marietta,,"33.939509, -84.521117"
Jeff le Nerf,rapper,1997,3/17/1982,,,Grenoble,,"45.189542, 5.707799"
113,group,1994,,2011,,Vitry-sur-Seine,,"48.78979, 2.403053"
Kalash,singer,2003,6/12/1998,,,Fort-de-France,,"14.608947, -61.052733"
James Deano,rapper,2003,11/6/1979,,,Waterloo,,"50.712897, 4.400191"
Alonzo,rapper,1995,7/25/1982,,,Marseille,Le Panier,"43.300699, 5.366829"
Rich Homie Quan,rapper,2012,10/4/1989,,,Atlanta,,"33.7053, -84.3258"
Spoonie Gee,rapper,1975,,,,New York,Harlem,"40.810218, -73.95099"
Médine,rapper,2002,2/24/1983,,,Le Havre,,"49.501545, 0.115902"
Bone Thugs-N-Harmony,group,1991,,,,Cleveland,,"41.485406, -81.658483"
Vald,rapper,2011,7/15/1992,,,Aulnay-sous-Bois,,"48.934982, 2.493237"
Fuzati,producer / dj;rapper,2003,,,,Versailles,,"48.812135, 2.144603"
Butter Bullets,group,2007,,,,Besançon,,"47.234558, 6.024283"
Higher Brothers,group,,,,,Chengdu,,"30.653503, 104.072762"
Kekra,rapper,2015,,,,Hauts-de-Seine,Courbevoie,"48.902102, 2.265845"
Afrika Bambaataa,producer / dj,,4/17/1957,,,Bronx,Bronx River Houses,"40.835033, -73.876652"
Ol' Dirty Bastard,producer;rapper,,11/15/1968,,11/13/2004,New York,Brooklyn,"40.683065, -73.970845"
Chino XL,rapper,1992,4/8/1974,,,New York,Bronx,"40.832285, -73.914407"
Gradur,rapper,,,,,Roubaix,Schweitzer,"50.6700138, 3.1986945"
The Coup,group,,,,,Oakland,,"37.8026292, -122.2718327"
MF Doom,rapper,1988,1/9/1971,,,Long Island,Long Beach,"40.587275, -73.66644"
"Tyler, The Creator",producer;rapper,2007,3/6/1991,,,Los Angeles,Hawthorne,"33.914217, -118.35278"
Rocca,rapper,1997,4/28/1975,,,Paris,Porte de Vanves,"48.827211, 2.305956"
M.I.A.,rapper;singer,2000,7/18/1975,,,Mitcham,Phipps Bridge Estate,"51.405969, -0.182573"
Big K.R.I.T,producer;rapper,2005,8/26/1986,,,Meridian,,"32.3760636, -88.7616572"
Metro Boomin,producer / dj,2010,9/16/1993,,,St Louis,,"38.689452, -90.468687"
Nyzzy Nyce,rapper,2007,1/4/1988,,,Fort Wayne,,"41.074649, -85.108915"
Pee Froiss,group,1993,,,,Dakar,,"14.706702, -17.455826"
Rihanna,singer,2003,2/20/1988,,,Bridgetown,,"13.114441, -59.592148"
Bitsu,rapper,,,,,Toulouse,,"43.61112, 1.459618"
Pimp C,producer;rapper,,12/29/1973,,12/4/2007,Port Arthur,,"29.8627186, -93.9303966"
Salif,rapper,,,,,Boulogne-Billancourt,Pont de Sèvres,"48.8289706, 2.2334914"
IshDARR,rapper,2013,,,,Milwaukee,,"43.089722, -87.92027"
Tory Lanez,rapper;singer,,,,,Toronto,,"43.666488, -79.378138"
Paul Wall,rapper,1998,3/11/1981,,,Houston,,"29.881719, -95.555588"
Pacewon,rapper,1999,,,,Newark,,"40.744422, -74.175222"
Pit Baccardi,rapper,1995,6/9/1978,,,Paris,Ménilmontant,"48.866268, 2.382906"
Desiigner,rapper,2014,,,,Brooklyn,Bedford–Stuyvesant,"40.688132, -73.945766"
Richie Rich,rapper,1986,6/25/1968,,,Oakland,,"37.800256, -122.233585"
Busdriver,producer / dj;rapper,1999,2/12/1978,,,Los Angeles,,"33.997818, -118.309867"
Joke,rapper,2008,10/27/1989,,,Montpellier,,"43.607406, 3.874333"
Assassin,group,1985,,,,Paris,,"48.890533, 2.335072"
Themselves,group,1997,,,,Oakland,,"37.794463, -122.212206"
Fayçal,rapper,2001,,,,Bordeaux,,"45.123558, -0.660833"
Da Guedes,group,1993,,,,Porto Alegre,,"-30.042245, -51.219484"
Hornet La Frappe,rapper,2012,,,,Épinay-sur-Seine,,"48.958782, 2.293878"
Dj Jazzy Jeff,producer,1985,1/22/1965,,,Philadelphia,,"39.97285, -75.22754"
Mac Miller,producer;rapper;singer,2007,1/19/1992,,,Pittsburgh,,"40.451551, -79.9441933"
Snoop Dogg,rapper,,10/20/1971,,,Long beach,,"33.78444, -118.173652"
DJ Paul,producer;rapper,,,,,Memphis,,"35.1394404, -90.0488417"
Alkpote,rapper,,,,,Évry-Courcouronnes,Les Pyramides,"48.6338203, 2.4298817"
Original Flow Mastaz,group,2017,,,,Neuchâtel,,"46.999944, 6.917182"
Kool G Rap,rapper,1986,7/20/1968,,,Queens,LeFrak City,"40.736308, -73.860869"
Diam's,rapper;singer,1996,7/25/1980,2012,,Orsay,Mondétour,"48.680257, 2.181267"
Cam'ron,rapper,1993,2/4/1976,,,New York,Harlem,"40.826607, -73.944868"
Travis Scott,rapper,2008,6/30/1992,,,Houston,Missouri City,"29.582629, -95.543564"
TRU,group,1989,,2005,,New Orleans,,"29.952886, -90.096329"
Yung Lean,rapper,2012,7/18/1996,,,Stockholm,Södermalm,"59.311338, 18.060332"
Orelsan,producer / dj;rapper,2008,8/1/1982,,,Alençon,,"48.431979, 0.083678"
Nakk,rapper,1996,3/30/1976,,,Bobigny,Cité Paul Éluard,"48.907971, 2.443653"
Svinkels,group,1994,,2009,,Paris,,"48.85363, 2.360646"
Jawat!,rapper,2004,,2010,,Zwolle,,"52.512067, 6.094215"
Mos Def,rapper,1994,12/11/1973,,,New York,Brooklyn,"40.696951, -73.919145"
Wu-Tang Clan,group,,,,,New York,Staten Island,"40.614784, -74.094637"
Gucci Mane,rapper,2001,2/12/1980,,,Atlanta,Sun Valley Appartements,"33.713048, -84.327506"
Akhenaton,producer;rapper,,,,,Marseille,Plan-de-Cuques,"43.3641924, 5.4463259"
The-Dream,singer,2001,9/20/1977,,,Atlanta,,"33.765124, -84.396917"
Denzel curry,producer;rapper,,,,,Miami,Carol City,"25.9413812, -80.2573833"
Missy Elliott,rapper,,7/1/1971,,,Portsmouth,,"36.815125, -76.381403"
Dj Yella,,,,,,Los Angeles,Compton,"33.896006, -118.2333217"
Allan Kingdom,rapper;singer,2011,1/6/1994,,,Saint Paul,,"44.909013, -92.961595"
Fabolous,rapper,2000,11/18/1977,,,Brooklyn,Bedford-Stuyvesant,"40.680119, -73.923857"
Admiral T,singer,1993,3/28/1981,,,Pointe-à-Pitre,Boissard,"16.244404, -61.531287"
Lacraps,rapper,2013,,,,Montpellier,,"43.605666, 3.86884"
Manza Abdeslam,rapper,,,,,Bruxelles,,"50.855179, 4.346122"
Ninho,rapper,2013,,,,Yerres,,"48.706067, 2.483581"
Dj Premier,producer / dj,1984,3/21/1966,,,New york,Brooklyn,"40.675853, -73.94279"
Krizz Kaliko,rapper;singer,2000,3/7/1974,,,Kansas City,,"39.04787, -94.573007"
Ty Dolla $ign,rapper,2006,4/13/1985,,,Los Angeles,Crenshaw,"34.006194, -118.341255"
Dom Kennedy,rapper,2008,8/22/1984,,,Los Angeles,Leimert Park,"34.011436, -118.323207"
Stormzy,rapper,2010,7/26/1993,,,London,Thornton Heath,"51.399022, -0.107227"
Nesbeal,rapper,1999,8/16/1978,,,Villiers-sur-Marne,Hautes-Noues,"48.835658, 2.535869"
Shystie,rapper,2004,12/25/1983,,,Hackney,Northwold estate,"51.562554, -0.060929"
Dj Khaled,producer / dj;rapper,1998,11/26/1975,,,Miami,,"25.932657, -80.274584"
8Ball & MJG,group,1991,,,,Memphis,,"35.078121, -89.852682"
Mala,rapper,1999,,,,Boulogne-Billancourt,Pont de Sèvres,"48.830121, 2.234341"
Lupe Fiasco,rapper,2000,2/16/1982,,,Chicago,Harvey,"41.6181, -87.6434"
Big Daddy Kane,rapper,,10/10/1968,,,Brooklyn,Bedford Stuyvesant,"40.686695, -73.946079"
Rohff,rapper,1998,12/15/1977,,,Vitry-sur-Seine,Cité Robespierre,"48.791011, 2.38936"
Dr. Dre,rapper,,,,,Los Angeles,Compton,"33.893247, -118.25683"
Young Thug,rapper,,,,,Atlanta,,"33.524444, -84.354167"
D double E,rapper,2003,,,,East London,Newham,"51.542832, 0.026393"
L'or du commun,group,2013,,,,Bruxelles,Boisfort,"50.796134, 4.418411"
Yung Light,rapper,2012,1/24/1995,,,Thessaloniki,,"40.634343, 22.941988"
$uicideboy$,group,2014,,,,New Orleans,,"29.953031, -90.131997"
The Opposites,group,2004,,,,Amsterdam,,"52.374221, 4.901242"
Mac Dre,producer;rapper,,,,,Vallejo,Country Club Crest,"38.1468556, -122.2386108"
Arabian Prince,producer;rapper,1980,6/17/1965,,,Los Angeles,,"33.9540723, -118.3636301"
Nekfeu,rapper,2007,4/3/1990,,,Paris,,"48.842815, 2.293215"
Wiz Khalifa,rapper,2005,9/8/1987,,,Pittsburgh,,"40.3875316, -79.9013383"
Pusha T,rapper,1992,5/13/1977,,,Virginia Beach,,"36.8853221, -75.9921208"
Bankroll Fresh,rapper,,,,,Atlanta,,"33.73948, -84.39888"
Lil Jon,rapper,,,,,Atlanta,,"33.761173, -84.46813"
Lil' Flip,rapper,1999,3/3/1981,,,Houston,Cloverland,"29.633018, -95.364623"
Lil' Keke,rapper,1993,3/23/1976,,,Houston,,"29.66094, -95.368082"
Trae Tha Truth,rapper,1998,7/3/1980,,,Houston,,"29.674552, -95.363456"
Jumo Barjo,group,,,,,Bruxelles,Porte de Namur,"50.838182, 4.362032"
Childish Gambino,producer / dj;rapper;singer,2002,9/25/1983,,,Stone Mountain,,"33.805348, -84.173765"
Mia X,rapper,1992,1/9/1970,,,New Orleans,7th Ward,"29.976238, -90.065521"
Sinik,rapper,1996,6/26/1980,2017,,Les Ulis,Cité des Hautes Bergères,"48.684966, 2.168392"
André 3000,rapper;singer,1991,5/27/1975,,,Atlanta,,"33.859537, -84.375569"
Ma$e,rapper,1993,8/27/1975,,,New York,Harlem,"40.817315, -73.940188"
Bisso na Bisso,group,1999,,,,Paris,,"48.907246, 2.336719"
Slim Thug,rapper,1998,9/8/1980,,,Houston,Scenic Woods,"29.860766, -95.301123"
Marracash,rapper,2003,,,,Milano,Barona,"45.437469, 9.154857"
Ice Top,group,,,,,Ulaanbaatar,,"47.906587, 106.891649"
J.I.D.,rapper,2014,,,,East Atlanta,,"33.736491, -84.338887"
Kool Keith,rapper,1984,10/7/1966,,,New York,Bronx,"40.844672, -73.882479"
Positive Black Soul,group,1989,,,,Dakar,,"14.776316, -17.383478"
Big Moe,rapper,1993,8/20/1974,2007,10/14/2007,Houston,,"29.722827, -95.354919"
Lil Yachty,rapper,2015,8/23/1997,,,Atlanta,Austell,"33.815649, -84.641416"
Sinya,rapper,2017,8/5/1995,,,Perpignan,Toulouges,"42.670169, 2.831146"
Chamillionaire,rapper,1997,11/28/1979,,,Houston,,"29.88786, -95.570445"
Tiers Monde,rapper,2003,,,,Le Havre,Mont Gaillard,"49.526292, 0.109944"
Daara J,group,1993,,,,Dakar,,"14.751269, -17.467866"
Swift Gad,rapper,2011,,,,Montreuil,Croix de Chavaux,"48.859502, 2.434101"
Master P,rapper,1988,,,,New Orleans,Caliope Projects,"29.950556, -90.092222"
Jadakiss,rapper,1991,5/27/1975,,,New York,Yonkers,"40.950239, -73.889011"
Wale,rapper;singer,2006,9/21/1984,,,Montgomery County,,"39.14, -77.2"
Dosseh,rapper,2004,1/26/1985,,,Orlean,,"47.903533, 1.868374"
Kool Moe Dee,rapper,1980,8/8/1962,,,New York,Harlem,"40.811703, -73.955721"
Jul,producer;rapper;singer,2013,1/14/1990,,,Marseille,Saint-Jean du Désert,"43.303939, 5.409637"
Freeway,rapper,2000,8/6/1978,,,Philadelphia,,"40.007635, -75.141924"
Sole,rapper,1992,9/25/1977,,,Portland,,"45.548719, -122.649736"
Sido,rapper,1997,11/30/1980,,,Berlin,Märkische Viertel,"52.596998, 13.354039"
MoTrip,rapper,2011,3/7/1988,,,Aachen,Blücherplatz,"50.779529, 6.102044"
Kurtis Blow,rapper,,,,,New York,Harlem,"40.81573, -73.94133"
Melan,rapper,2012,,,,Toulouse,,"43.577428, 1.471291"
Chilla,rapper,2013,,,,Gex,,"46.333132, 6.060867"
John Cruipy,rapper,2015,,,,Bruxelles,Bockstael,"50.878883, 4.347943"
Birdman,rapper,,2/15/1969,,,New Orleans,,"29.959346, -90.104417"
Ghostface Killah,rapper,,,,,Stapleton,Staten Island,"40.626667, -74.077778"
Juicy P,rapper,,,,,Grigny,La Grande Borne,"48.653538, 2.372164"
Yoon Mi Rae,rapper;singer,1997,5/31/1981,,,Fort Hood,,"31.194718, -97.769074"
Watsky,rapper,2006,9/15/1986,,,San Francisco,,"37.790943, -122.445392"
Ksir Makoza,rapper,1992,,,,Marseille,,"43.363585, 5.36859"
Mafia Trece,group,1996,,1999,,Paris,Triangle de Choisy,"48.821897, 2.365793"
Mike Jones,rapper,2001,11/18/1981,,,Houston,,"29.792792, -95.388161"
S.Pri Noir,rapper,2012,,,,Paris,Fougères,"48.871915, 2.410277"
Droogz Brigade,group,2008,,,,Toulouse,,"43.582029, 1.458244"
Sfera Ebbasta,rapper,2013,,,,Milano,,"45.501949, 9.169834"
Gunplay,rapper,,,,,Miami,Carol City,"25.927072, -80.289421"
Lil Bibby,rapper,,,,,Chicago,,"41.7078783, -87.5700404"
2 Chainz,rapper,,,,,Atlanta,,"33.648333, -84.456111"
CNN199,group,2003,,,,Bruxelles,,"50.86441, 4.377086"
Aesop Rock,producer / dj;rapper,1996,6/5/1976,,,Long Island,Northport,"40.879038, -73.340404"
Massive Töne,group,1991,,2006,,Stuttgart,,"48.777536, 9.179257"
ATK,group,1995,,,,Paris,12th Arrondissement,"48.847175, 2.408019"
Iceberg Black,producer / dj;rapper,2014,,,,Brooklyn,Crown Heights,"40.670641, -73.943575"
O.T. Genasis,rapper,2011,6/19/1987,,,Long Beach,,"33.796106, -118.193809"
Expression Direkt,group,1994,,2012,,Mantes la jolie,,"48.996195, 1.700346"
Youssoupha,rapper,1999,8/29/1979,,,Satrouville,,"48.93645, 2.163864"
Keny arkana,rapper,1996,12/20/1982,,,Marseille,,"43.309782, 5.390296"
Driver,rapper,1990,,,,Sarcelle,,"48.981097, 2.386947"
Kalash Criminel,rapper,2016,,,,Sevran,Rougemont,"48.936965, 2.524996"
Luke,producer / dj;rapper,1981,12/22/1959,2010,,Miami,,"25.812905, -80.13949"
Puff Daddy,rapper,1990,11/4/1969,,,New York,Bronx,"40.898543, -73.842981"
Black Moon,group,1992,,2006,,New York,Brooklyn,"40.695718, -73.917474"
Joey bada$$,rapper;singer,2010,1/20/1995,,,Brooklyn,Bedford–Stuyvesant,"40.688889, -73.944444"
Coolio,rapper,1987,8/1/1963,,,Los Angeles,Compton,"33.874362, -118.211126"
Lauryn Hill,rapper;singer,1991,5/26/1975,,,South Orange,,"40.735581, -74.265698"
Raekwon,rapper,,,,,Staten Island,Clifton,"40.620278, -74.0775"
Aaliyah,singer,1991,1/16/1979,2001,8/25/2001,Detroit,,"42.417139, -83.138337"
A$AP Ferg,rapper,2007,10/20/1988,,,Harlem,Hamilton Heights,"40.825389, -73.949062"
Naughty by Nature,group,1988,,2002,,East Orange,,"40.757701, -74.213997"
Mannie Fresh,producer;rapper,1987,3/20/1969,,,New Orleans,,"29.949158, -90.1183"
Devin the Dude,rapper,1992,6/4/1970,,,Houston,,"29.761053, -95.406208"
Cypress Hill,group,1990,,,,Los Angeles,South Gate,"33.943882, -118.204613"
EPMD,group,1986,,1999,,New York,Brentwood,"40.783719, -73.249082"
Robb Bank$,rapper,2011,9/24/1994,,,Coral Springs,,"26.284915, -80.21448"
Stomy Bugsy,rapper,1991,5/21/1972,,,Sarcelle,,"48.974476, 2.372283"
Casey,rapper,1995,,,,Blanc-Mesnil,,"48.942213, 2.466131"
Jay Z,rapper,1986,12/4/1969,,,Brooklyn,Bedford-Stuyvesant,"40.699153, -73.952231"
French Montana,rapper,2002,11/9/1984,,,New York,South Bronx,"40.8172437, -73.9251209"
Ludacris,rapper,1998,9/11/1977,,,Atlanta,College Park,"33.65484, -84.453453"
Soprano,rapper;singer,1995,1/14/1979,,,Marseille,Balustres,"43.338434, 5.422224"
GZA,rapper,,8/22/1966,,,New York,Brooklyn,"40.641897, -74.01394"
Jean Grae,rapper,,,,,New York,Chelsea,"40.744391, -73.996943"
T.I.,rapper;singer,,,,,Atlanta,,"33.770165, -84.461894"
Movez'Lang,group,1995,,2012,,Boulogne Billancourt,Pont de Sèvres,"48.828274, 2.231283"
Niska,rapper,2013,4/6/1990,,,Évry,Champtier-du-Coq,"48.636821, 2.437588"
Young M.A,rapper,2012,,,,New York,Brooklyn,"40.627293, -73.941395"
Yvon Krevé,rapper,2000,,,,Montreal,,"45.42492, -73.616835"
Jimmy Wopo,rapper,2015,1/13/1997,,,Pittsburgh,Hill District,"40.445019, -79.980578"
Tortoz,producer / dj;rapper,2015,,,,Grenoble,,"45.176295, 5.725842"
Eloquence,rapper,2003,,,,Evry,,"48.633044, 2.440871"
Mister you,rapper,2003,2/5/1984,,,Paris,Belleville,"48.871907, 2.38862"
Devlin,rapper,2006,5/7/1989,,,London,Dagenham,"51.541038, 0.121572"
R. Kelly,singer,1989,1/8/1967,,,Chicago,Bronzeville,"41.824374, -87.613577"
Silkk the Shocker,rapper,1991,6/18/1976,,,New Orleans,Calliope Projects,"29.951165, -90.093223"
Loyle Carner,rapper,2012,,,,London,South Croydon,"51.354824, -0.098422"
Die Antwoord,group,2008,,,,Cape Town,,"-33.863259, 18.594231"
Portavoz,rapper,2000,,,,Santiago de Chile,Conchalí,"-33.382835, -70.679302"
Démocrates D,group,1991,,2002,,Montfermeil,Les bosquets,"48.903308, 2.558682"
Cormega,rapper,1990,4/26/1970,,,Brooklyn,,"40.664684, -73.955178"
Nemir,rapper,2009,,,,Perpignan,St-Jacques,"42.698712, 2.905447"
Hamza,producer / dj;rapper,2013,,,,Bruxelles,Bockstael,"50.877058, 4.342225"
Skinny Pimp,rapper,1990,,,,Memphis,Dixies Home,"35.1466236, -90.0280662"
Nate Dogg,rapper;singer,1991,8/19/1969,2011,3/15/2011,Los Angeles,Longbeach,"33.782685, -118.145006"
Eazy-E,rapper,,,,,Los Angeles,Compton,"33.8850635, -118.2010406"
Rim'K,rapper,1994,6/21/1978,,,Vitry-sur-Seine,Cité Camille Groult,"48.786546, 2.394227"
Xzibit,rapper,1995,9/18/1974,,,Detroit,,"42.352718, -83.023499"
Slick Rick,rapper,,,,,New York,Bronx,"40.813457, -73.917884"
SCH,rapper,2015,4/6/1993,,,Aubagne,,"43.289909, 5.561181"
IAM,group,1989,,,,Marseille,,"43.313878, 5.411457"
Kaaris,producer;rapper,,,,,Sevran,Rougemont,"48.9350964, 2.5132507"
Vince Staples,rapper,2010,7/2/1993,,,Long Beach,Ramona Park,"33.868639, -118.15359"
J Dilla,producer,1993,2/7/1974,2006,2/10/2006,Detroit,,"42.425793, -83.070953"
Scarface,rapper,1988,11/9/1970,,,Houston,,"29.641606, -95.367102"
Psy 4 de la rime,group,1995,,2015,,Marseille,Cité du Plan d'Aou,"43.3686717, 5.3533533"
Danny Brown,rapper,2002,3/16/1981,,,Detroit,Hamtramck,"42.402115, -83.06447"
Suprême NTM,group,1989,,2001,,Saint-Denis,,"48.944615, 2.377206"
Akon,rapper;singer,2003,4/16/1973,,,Jersey City,,"40.726127, -74.071806"
Iamsu!,producer / dj;rapper;singer,2007,11/16/1989,,,Pinole,,"37.991, -122.286"
La Rumeur,group,1997,,,,Élancourt,,"48.76944, 1.953664"
Romeo Elvis,rapper,2012,,,,Bruxelles,Linkebeek,"50.770863, 4.34309"
The Notorious B.I.G.,rapper,1992,5/21/1972,1997,3/9/1997,Brooklyn,Clinton Hill,"40.683529, -73.964148"
Nas,rapper,,,,,Queens,Queensbridge,"40.755194, -73.945333"
Rakim,rapper,,,,,New York,Wyandanch,"40.7251749, -73.3655864"
Zoxea,rapper,,,,,Boulogne Billancourt,Casteja,"48.8305624, 2.2367953"
Outkast,group,,,,,Atlanta,,"33.676111, -84.451389"
Craig Mack,rapper,1988,5/10/1971,,,New York,Brentwood,"40.768558, -73.222561"
La Clinique,group,1995,,2004,,Paris,,"48.892194, 2.363829"
Kacem Wapalek,rapper,2009,,,,Lyon,,"45.745237, 4.839238"
13 Block,group,2014,,,,Sevran,,"48.929103, 2.533054"
Bejo,rapper,2006,,,,Santa Cruz de Tenerife,,"28.466467, -16.255821"
Sobre,rapper,2005,,,,Caen,,"49.190457, -0.385134"
